Curso,Siglas,Calidad de la Guía de Estudio,Cumplimiento de los objetivos,Métodos de enseñanza utilizados,Labor desempeñada por los profesores,Dominio del contenido por parte de los profesores,"Orientación, interacción y retroalimentación brindada por los profesores",Criterios de evaluación utilizados,Exigencia de los profesores en las evaluaciones,Distribución de actividades en el tiempo,"Canales de comunicación (foros, chats, correo...) utilizados",Bibliografía recomendada,Variedad de recursos utilizados,Calidad de los recursos empleados,Cumplimiento de las expectativas,Satisfacción con el curso,Teléfono Móvil,Tablet,Laptop,PC de Escritorio,Datos Móviles,Nauta Hogar,Puntos Wifi,Salas de Navegación,Conexión desde su centro de trabajo,Otra,Q05_pregunta
Sostenibilidad Corporativa,SC,5,5,4,5,5,5,4,4,3,5,5,4,5,5,5,1,0,0,0,1,0,0,0,0,0,"El tiempo para dar respuesta a las evaluaciones,deberían tener en cuenta la extensión de los temas y de sus lecciones."
Sostenibilidad Corporativa,SC,4,4,5,5,5,4,4,4,5,3,5,4,4,4,5,0,0,1,0,1,0,0,0,0,0,Sin sugerencias.
Sostenibilidad Corporativa,SC,4,4,3,5,4,4,5,5,5,5,5,3,4,4,4,0,0,0,1,0,0,0,0,1,0,"Como experiencia que he vivido durante otros cursos a distancia. Me gustaria que incorporaran el sistema de videoconferencias o sea que los profesores brindaran la información de los temas a traves de videos, para mi como estudiane es más fácil el procesamiento de la información por esa vía, que a través de textos y lectura continua. Excelente curso y felicidades a los profesores."
Sostenibilidad Corporativa,SC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,1,0,0,0,1,0,"El curso me parece excelente, para los que como yo no nos habíamos adentrado en este aspecto tan importante al día de hoy, me ha servido para comenzar a mirar la necesidad de presentar el desarrollo en todas las aristas de la vida necesariamente desde la sostenibilidad, hubiera querido tener más tiempo para dedicarle al curso sobre todo por lo novedoso del tema para mi."
Sostenibilidad Corporativa,SC,5,5,5,5,5,5,1,1,1,5,5,5,5,5,4,1,0,0,1,1,0,0,0,1,0,"Creo debería impartirse en más tiempo, porque es bastante contenido  a estudiar en muy poco tiempo.  Muy bueno el curso. Excelente"
Sostenibilidad Corporativa,SC,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,0,0,0,1,0,0,0,0,1,0,se sugere a los profesores para proximas ediciones usar videos grabados anteriormente donde expliquen detalladamente las lecciones en los diferentes temas.
Sostenibilidad Corporativa,SC,4,5,4,5,5,5,4,4,4,5,5,5,5,4,5,1,0,0,1,1,0,0,0,0,0,"Sería bueno que los temas los pudiéramos descargar ya que había que revisarlo en la red. Por lo demás ha sido muy buena la experiencia en el curso, la calidad y el pleno dominio de los profesores es algo a lo que la UCI la distingue por Excelencia. Muchas gracias por esta oportunidad de interractuar una vez con la Universidad que tanto me enseñó durante el tiempo que estuve laborando. "
Sostenibilidad Corporativa,SC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,1,0,0,0,1,0,"El  curso  esta  estructurado  muy bien, lo que el tiempo para estudiar  es  poco, ya que es  un tema  interesante y necesario para el trabajo de  nuestra organización y que se  aprende"
Sostenibilidad Corporativa,SC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,0,0,0,0,1,0,"De manera general este curso me gustó mucho, agradezco la atención y disposición del profesor Plasencia, en mi criterio mejor este curso no lo imagino. Gracias"
Sostenibilidad Corporativa,SC,5,4,4,5,5,5,4,4,5,5,1,5,5,5,5,0,0,0,1,0,0,0,0,1,0,El curso ha sido muy útil pues nos ayudó a superarnos profesionalmente y despertar el interés en temas tan importante como son el medio ambiente la economía y la sociedad y como lograr una equilibrio armónico de estas tres dimensiones y qué podemos hacer desde los diferentes puestos de trabajo desde donde nos desempeñamos para constribuir a fomentar una cultura ambiental .
Sostenibilidad Corporativa,SC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,1,1,0,0,0,1,0,Agregar elementos audiovisuales para mejorar la comprensión  de algunos métodos.
Sostenibilidad Corporativa,SC,4,4,3,4,5,5,5,4,4,5,5,2,2,4,4,1,0,1,0,1,0,0,1,0,0,Se podrán realizar más recursos educativos que le sean atractivos e interesantes al estudiante.
